"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"135",2.64,0.15,0.90014694968122,0.797243103342633,595.625575327608,0.563950136926911,0.985649379409817,0.114577704513633,0.872970985822602
"136",2.72,0.15,0.901111778543913,0.801639431538321,597.19259584637,0.558617198722621,0.985859879592318,0.114627181261738,0.877032319708282
"137",2.8,0.15,0.902017781380075,0.8057699897969,598.677723345415,0.553380543098993,0.986056421694272,0.114666896783804,0.880841474801232
"138",2.88,0.15,0.90287004251052,0.809656992386248,600.086985307205,0.548240150778888,0.986240310187695,0.114698177138655,0.884420044657031
"139",2.96,0.15,0.903673089277698,0.813320336312911,601.42584900863,0.543195665474716,0.986412695356402,0.114722159150055,0.887787314516407
"140",3.04,0.15,0.904430965409161,0.816777888791174,602.699284277645,0.538246447421068,0.986574595150487,0.114739820027467,0.890960555068431
"141",3.12,0.15,0.905147293164457,0.820045733635287,603.911818051244,0.533391619228682,0.986726913454007,0.114752001891581,0.893955273082893
"142",3.2,0.15,0.905825326211,0.823138383166764,605.067581947141,0.528630105291875,0.986870455435658,0.114759432123151,0.896785426038236
"143",3.28,0.15,0.906467994774798,0.826068961066255,606.170353852724,0.523960665673803,0.987005940498402,0.114762740376126,0.899463606584696
"144",3.36,0.15,0.907077944374396,0.828849360677531,607.223594423196,0.51938192535986,0.987134013263529,0.114762472797378,0.902001201628617
"145",3.44,0.15,0.907657569139941,0.831490382443818,608.230479144697,0.514892399488082,0.987255252919398,0.114759103973108,0.90440852996738
"146",3.52,0.15,0.90820904060326,0.834001853632359,609.193926646076,0.51049051514797,0.987370181209973,0.114753047044605,0.906694961771645
"147",3.6,0.15,0.908734332627788,0.836392732859141,610.116623673862,0.506174630207197,0.987479269290411,0.114744662227445,0.908869022583573
"148",3.68,0.15,0.909235243106968,0.838671201660824,611.001047272423,0.501943049616189,0.987582943634508,0.114734264042709,0.910938484134678
"149",3.76,0.15,0.909713412873024,0.840844744888186,611.849484465324,0.497794039462915,0.98768159113559,0.114722127490057,0.912910443857643
"150",3.84,0.15,0.910170342231544,0.842920221467435,612.664049765807,0.493725839097054,0.987775563529461,0.114708493308762,0.914791394684402
"151",3.92,0.15,0.910607405476816,0.844903926855152,613.446700820789,0.489736671598688,0.987865181244355,0.114693572471053,0.916587286482464
"152",4,0.15,0.911025863647676,0.846801648270131,614.199252381784,0.485824752759262,0.987950736756844,0.114677550050517,0.918303580258097
"153",4.08,0.15,0.911426875781482,0.84861871366003,614.923388828228,0.481988298798364,0.988032497530419,0.11466058853703,0.919945296093722
"154",4.16,0.15,0.911811508861331,0.850360035205039,615.620675408501,0.478225532956719,0.988110708593019,0.114642830701183,0.921517055641181
"155",4.24,0.15,0.91218074663011,0.852030148045664,616.292568344416,0.474534691113565,0.988185594805637,0.114624402059377,0.92302311986887
"156",4.32,0.15,0.912535497421964,0.8536332448387,616.940423944896,0.470914026547712,0.988257362862712,0.114605413019108,0.924467422669631
"157",4.4,0.15,0.91287660112459,0.85517320663313,617.565506811825,0.467361813934853,0.988326203059901,0.11458596073742,0.925853600836165
"158",4.48,0.15,0.913204835410133,0.856653630540104,618.168997292178,0.463876352729167,0.988392290865883,0.114566130716874,0.927185020858808
"159",4.56,0.15,0.913520921278369,0.858077854534182,618.751998183926,0.460455969910792,0.988455788311337,0.114545998229038,0.928464802917885
"160",4.64,0.15,0.913825528044794,0.859448979762248,619.315540851686,0.457099022284584,0.988516845232673,0.114525629520093,0.929695842411805
"161",4.72,0.15,0.91411927780185,0.860769890617499,619.860590761553,0.45380389830084,0.988575600376512,0.114505082893819,0.930880829304283
"162",4.8,0.15,0.914402749441705,0.86204327284948,620.388052530699,0.450569019522107,0.988632182391411,0.114484409634041,0.932022265542574
"163",4.88,0.15,0.914676482267479,0.863271629912281,620.898774509904,0.44739284172598,0.988686710712478,0.114463654833414,0.933122480763403
"164",4.96,0.15,0.914940979266193,0.864457297766337,621.393552987296,0.444273855748921,0.988739296359376,0.114442858101848,0.934183646481466
"165",5.04,0.15,0.915196710049537,0.865602458273446,621.873136000276,0.441210588038134,0.988790042649237,0.114422054210741,0.93520778892131
"166",5.12,0.15,0.915444113527243,0.866709151357981,622.338226836907,0.438201601012428,0.988839045842749,0.11440127363685,0.936196800643364
"167",5.2,0.15,0.915683600333314,0.867779286062474,622.789487252695,0.435245493231565,0.988886395726166,0.114380543055122,0.937152451095313
"168",5.28,0.15,0.915915555017912,0.868814650591696,623.227540394033,0.432340899383916,0.988932176136286,0.11435988576736,0.938076396193457
"169",5.36,0.15,0.916140338046235,0.869816921472633,623.652973498269,0.429486490139969,0.988976465435394,0.114339322092894,0.93897018704408
"170",5.44,0.15,0.91635828762541,0.870787671912202,624.066340379625,0.426680971905597,0.989019336945273,0.114318869688552,0.939835277887263
"171",5.52,0.15,0.9165697213543,0.871728379420831,624.468163696634,0.42392308643098,0.989060859335231,0.114298543871003,0.940673033343193
"172",5.6,0.15,0.916774937745667,0.872640432790567,624.85893705427,0.421211610379256,0.989101096982206,0.114278357850013,0.941484735028421
"173",5.68,0.15,0.916974217611984,0.873525138488517,625.239126949175,0.418545354794005,0.989140110292884,0.114258322987489,0.942271587611588
"174",5.76,0.15,0.917167825326105,0.874383726500569,625.609174535181,0.415923164504066,0.989177955999448,0.114238448994115,0.943034724349914
"175",5.84,0.15,0.917356009994024,0.875217355714998,625.969497293863,0.41334391750794,0.989214687431529,0.11421874411018,0.943775212170792
"176",5.92,0.15,0.917539006510227,0.876027118846998,626.320490539617,0.410806524276265,0.989250354760542,0.114199215280103,0.944494056329352
"177",6,0.15,0.917717036543929,0.876814046982875,626.662528842532,0.408309927058909,0.989285005227302,0.114179868291517,0.945192204690321
